Variable,Coeficiente,Impacto_Abs
puntos_por_partido,17.123591862622618,17.123591862622618
performance_index,9.481016021240093,9.481016021240093
draw_rate,-7.757463643425831,7.757463643425831
goles_por_partido,-3.127402668895551,3.127402668895551
eficiencia_disparo,-0.6498566513434394,0.6498566513434394
ataques_por_partido,-1.021405182655144e-14,1.021405182655144e-14
eficiencia_ataque,7.105427357601002e-15,7.105427357601002e-15
ratio_disparos_ataques,5.162537064506978e-15,5.162537064506978e-15
disparos_por_partido,1.7763568394002505e-15,1.7763568394002505e-15
defeat_rate,0.0,0.0
